epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,2411.89,1.70053,3.04428,2.23726,1.44511,0,0.37097,0.24707,0.19844,0.09786,0.34379,0.22624,0.16705,0.05952,1.77434,2.94811,15.4031,1.50256,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2441.93,1.69947,3.03115,2.23751,1.44745,0,0.36248,0.24719,0.2016,0.10008,0.32823,0.22653,0.16947,0.06104,1.76959,2.93972,15.8971,1.50233,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2471.88,1.68522,3.02061,2.22037,1.43739,0,0.36715,0.25135,0.19906,0.09994,0.34589,0.22508,0.16983,0.06056,1.7695,2.93657,15.6522,1.49974,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2501.89,1.68716,3.03549,2.23539,1.44091,0,0.36218,0.25122,0.20203,0.10102,0.32442,0.23023,0.16758,0.06108,1.76692,2.9376,16.2339,1.50121,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2531.68,1.68304,3.02062,2.20471,1.42969,0,0.36133,0.25399,0.20036,0.09934,0.32106,0.22909,0.16583,0.05992,1.77837,2.94912,16.2352,1.50502,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2561.78,1.66342,2.98249,2.18224,1.42576,0,0.39061,0.24185,0.20263,0.10082,0.34315,0.21651,0.16629,0.06033,1.77142,2.94959,16.2079,1.49936,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,2591.71,1.66925,3.01247,2.18548,1.42485,0,0.37993,0.2448,0.20067,0.09726,0.33004,0.22026,0.16637,0.05893,1.77152,2.95601,15.5225,1.49916,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,2621.8,1.66288,3.00077,2.16249,1.42534,0,0.3686,0.24741,0.19855,0.09684,0.33083,0.22361,0.16528,0.05843,1.77275,2.9562,15.3886,1.49876,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,2651.83,1.66301,2.99629,2.16789,1.41553,0,0.37153,0.2512,0.19775,0.09657,0.33681,0.22405,0.16432,0.05861,1.77,2.95725,15.7958,1.495,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,2681.91,1.65789,2.96692,2.14407,1.41931,0,0.38777,0.24331,0.19791,0.0969,0.3451,0.22578,0.16515,0.05858,1.7735,2.9607,15.6424,1.49748,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,2711.87,1.65782,2.96014,2.13335,1.41625,0,0.37808,0.24507,0.19833,0.09825,0.34442,0.22502,0.16768,0.0591,1.77579,2.95706,15.8814,1.49869,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,2741.87,1.66553,2.96133,2.1386,1.4204,0,0.38292,0.24029,0.1993,0.09758,0.33263,0.22614,0.16814,0.05902,1.78087,2.96744,15.8861,1.50088,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2772.58,1.67646,2.81697,2.14429,1.46385,0,0.36582,0.24988,0.19891,0.09747,0.32762,0.2268,0.16691,0.05979,1.78544,2.97086,16.0033,1.5026,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2801.89,1.64959,2.7957,2.04995,1.44797,0,0.37777,0.23908,0.19668,0.09592,0.32447,0.22139,0.16275,0.05865,1.78949,2.97483,15.8211,1.50648,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,2830.78,1.6465,2.75266,2.04177,1.44251,0,0.35624,0.24974,0.19655,0.09498,0.31981,0.22658,0.1636,0.05819,1.78658,2.98241,16.0928,1.50806,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,2859.85,1.64381,2.75342,2.0229,1.44454,0,0.35172,0.25041,0.19584,0.09478,0.31607,0.2231,0.16226,0.05779,1.78565,2.9851,15.7421,1.50432,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,2888.9,1.62894,2.7515,1.99548,1.43171,0,0.35627,0.25075,0.19699,0.09409,0.30993,0.2249,0.16051,0.05777,1.78507,2.99142,15.7169,1.50187,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,2918.02,1.61113,2.70913,2.01967,1.4196,0,0.34903,0.25171,0.19576,0.09403,0.32728,0.21811,0.16017,0.05779,1.7882,2.99597,15.586,1.50396,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,2947.01,1.61112,2.75626,1.98077,1.4344,0,0.36997,0.23573,0.19519,0.09408,0.33369,0.21529,0.16247,0.05825,1.79249,3.00345,15.3693,1.5085,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,2976.17,1.60078,2.71446,1.95297,1.41822,0,0.37152,0.23941,0.19389,0.09388,0.32848,0.21621,0.16223,0.05753,1.79312,3.0069,15.3862,1.51149,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3005.38,1.60461,2.69278,1.94735,1.42345,0,0.36203,0.23905,0.19184,0.09304,0.32879,0.21617,0.15879,0.05676,1.79449,3.00943,15.3235,1.51451,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3034.39,1.6107,2.7027,1.94348,1.42689,0,0.372,0.23531,0.19352,0.0933,0.32645,0.21468,0.15785,0.05681,1.79491,3.00973,15.3161,1.51635,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
