epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,2942.82,1.64423,2.84528,2.48154,1.63115,0,0.34945,0.2459,0.1992,0.09487,0.33567,0.22324,0.17139,0.064,1.74357,2.83016,6.75586,1.66842,0,0.0004456,0.0004456,0.0004456
58,2994.23,1.63754,2.82219,2.45875,1.6194,0,0.3842,0.23698,0.20224,0.09745,0.34472,0.22401,0.17113,0.06393,1.74213,2.83149,6.43956,1.6708,0,0.0004357,0.0004357,0.0004357
59,3045.94,1.63808,2.81195,2.43785,1.62434,0,0.36573,0.24426,0.20427,0.09716,0.33946,0.22775,0.17121,0.06255,1.74615,2.82205,6.77071,1.6818,0,0.0004258,0.0004258,0.0004258
60,3097.56,1.63511,2.81713,2.4373,1.61989,0,0.3689,0.24589,0.20563,0.09856,0.33721,0.22701,0.17246,0.06524,1.73817,2.81445,6.54472,1.66916,0,0.0004159,0.0004159,0.0004159
61,3148.99,1.62958,2.80566,2.42613,1.6122,0,0.35841,0.24974,0.20648,0.1007,0.32967,0.23282,0.17587,0.06491,1.73508,2.81596,6.80721,1.67269,0,0.000406,0.000406,0.000406
62,3200.65,1.61112,2.79579,2.37566,1.60138,0,0.3528,0.25645,0.19978,0.09574,0.31817,0.24289,0.17367,0.06295,1.74795,2.83356,6.65742,1.67762,0,0.0003961,0.0003961,0.0003961
63,3252.24,1.61505,2.81162,2.3798,1.60835,0,0.35978,0.24476,0.1955,0.09489,0.31941,0.23488,0.16794,0.06284,1.73634,2.82721,6.76132,1.67235,0,0.0003862,0.0003862,0.0003862
64,3303.51,1.61424,2.79275,2.39197,1.61347,0,0.35794,0.24156,0.19533,0.0963,0.32211,0.22956,0.16863,0.06181,1.74026,2.81412,6.62329,1.67359,0,0.0003763,0.0003763,0.0003763
65,3354.95,1.6102,2.78582,2.38594,1.5954,0,0.36256,0.25049,0.20196,0.099,0.36319,0.21478,0.17259,0.06376,1.73507,2.81242,6.82451,1.65823,0,0.0003664,0.0003664,0.0003664
66,3406.29,1.59004,2.76017,2.35682,1.58955,0,0.37012,0.24847,0.20392,0.09782,0.33138,0.23183,0.17057,0.06299,1.74065,2.80909,6.61599,1.67367,0,0.0003565,0.0003565,0.0003565
67,3457.65,1.59973,2.77209,2.35256,1.59091,0,0.366,0.24858,0.20824,0.09952,0.3402,0.22379,0.17457,0.06454,1.73373,2.81376,6.85957,1.66567,0,0.0003466,0.0003466,0.0003466
68,3509.1,1.58668,2.7354,2.32856,1.58892,0,0.35398,0.24826,0.20744,0.10122,0.34366,0.22601,0.17808,0.06518,1.74001,2.8064,6.8634,1.67585,0,0.0003367,0.0003367,0.0003367
69,3559.99,1.58011,2.72396,2.31127,1.58669,0,0.35852,0.25017,0.20572,0.10082,0.32751,0.23176,0.17489,0.06415,1.73669,2.81514,6.90982,1.67088,0,0.0003268,0.0003268,0.0003268
70,3609.94,1.57289,2.72063,2.29839,1.56843,0,0.36459,0.25907,0.20865,0.10154,0.33152,0.23263,0.17562,0.06426,1.73773,2.81095,6.85936,1.67015,0,0.0003169,0.0003169,0.0003169
71,3661.28,1.57015,2.70254,2.27331,1.56831,0,0.38072,0.24904,0.21204,0.10178,0.34851,0.22933,0.18488,0.06652,1.73971,2.8192,6.77557,1.67276,0,0.000307,0.000307,0.000307
72,3712.88,1.5682,2.71121,2.28809,1.57492,0,0.36562,0.2425,0.20481,0.09882,0.34055,0.22689,0.17346,0.06354,1.74299,2.81387,6.82798,1.67128,0,0.0002971,0.0002971,0.0002971
73,3764.36,1.57679,2.7133,2.34925,1.56955,0,0.34546,0.25613,0.20775,0.10193,0.33973,0.23058,0.17709,0.06521,1.74139,2.81592,6.77158,1.66715,0,0.0002872,0.0002872,0.0002872
74,3815.81,1.55584,2.69662,2.26083,1.55914,0,0.36569,0.24809,0.21012,0.10167,0.34131,0.22928,0.17812,0.0653,1.7416,2.81052,6.9982,1.66996,0,0.0002773,0.0002773,0.0002773
75,3865.71,1.55033,2.68977,2.271,1.55734,0,0.36654,0.25657,0.20992,0.10305,0.33647,0.2381,0.17941,0.06581,1.74491,2.8134,6.84772,1.67254,0,0.0002674,0.0002674,0.0002674
76,3915.94,1.54526,2.67332,2.24049,1.54905,0,0.35964,0.25023,0.2045,0.10102,0.32831,0.24012,0.17576,0.06441,1.7429,2.82388,6.96093,1.67364,0,0.0002575,0.0002575,0.0002575
77,3967.54,1.54492,2.67329,2.23935,1.54967,0,0.35143,0.25561,0.20649,0.10093,0.34719,0.22437,0.17522,0.06473,1.7437,2.82606,6.84238,1.66856,0,0.0002476,0.0002476,0.0002476
78,4019.01,1.54974,2.68373,2.19162,1.54727,0,0.32558,0.2613,0.20717,0.09886,0.34156,0.22288,0.17375,0.06231,1.75474,2.82076,6.90535,1.67899,0,0.0002377,0.0002377,0.0002377
79,4070.42,1.53851,2.66506,2.1932,1.54636,0,0.36938,0.24802,0.21014,0.10005,0.33637,0.23003,0.17767,0.06349,1.74992,2.82621,6.98878,1.67418,0,0.0002278,0.0002278,0.0002278
80,4121.87,1.52644,2.65273,2.18528,1.53685,0,0.36408,0.25748,0.20791,0.10011,0.3318,0.2362,0.17547,0.06356,1.74241,2.82051,7.07991,1.67317,0,0.0002179,0.0002179,0.0002179
81,4173.15,1.52461,2.65557,2.18197,1.53389,0,0.3684,0.25136,0.20856,0.10132,0.32774,0.22954,0.17447,0.06436,1.73947,2.8201,7.02055,1.67413,0,0.000208,0.000208,0.000208
82,4224.64,1.52225,2.64128,2.16535,1.53311,0,0.34888,0.26275,0.21025,0.10103,0.32457,0.23645,0.17721,0.06429,1.74043,2.8234,6.93681,1.67337,0,0.0001981,0.0001981,0.0001981
83,4276.13,1.51659,2.63856,2.17561,1.52071,0,0.34139,0.26814,0.21095,0.10156,0.30963,0.24105,0.17529,0.06463,1.74213,2.82605,6.87086,1.67358,0,0.0001882,0.0001882,0.0001882
84,4326.92,1.51443,2.62981,2.13186,1.52712,0,0.34693,0.26191,0.20795,0.10054,0.31303,0.23747,0.17709,0.06496,1.74829,2.82978,7.01682,1.67353,0,0.0001783,0.0001783,0.0001783
85,4376.99,1.51263,2.62567,2.12688,1.52168,0,0.3434,0.26204,0.20852,0.10144,0.32073,0.23662,0.17623,0.06527,1.7535,2.83331,7.04731,1.67478,0,0.0001684,0.0001684,0.0001684
86,4429.49,1.50248,2.48461,2.06865,1.51406,0,0.36262,0.25564,0.2109,0.1017,0.33829,0.2328,0.17844,0.06549,1.75641,2.83854,7.01937,1.67953,0,0.0001585,0.0001585,0.0001585
87,4480.54,1.49394,2.49028,2.03936,1.51043,0,0.35402,0.26097,0.21148,0.10272,0.32755,0.23454,0.17843,0.06444,1.75698,2.8446,7.02098,1.67983,0,0.0001486,0.0001486,0.0001486
88,4531.52,1.48491,2.47836,2.03707,1.50254,0,0.35483,0.25935,0.21261,0.10326,0.30615,0.25028,0.17851,0.06425,1.76278,2.85108,7.04683,1.68606,0,0.0001387,0.0001387,0.0001387
89,4582.59,1.47913,2.46459,2.01905,1.49984,0,0.3691,0.25121,0.20984,0.1015,0.31697,0.23706,0.17825,0.06318,1.76374,2.85701,7.03609,1.68872,0,0.0001288,0.0001288,0.0001288
90,4633.61,1.46826,2.48643,1.9987,1.49239,0,0.36057,0.25587,0.21118,0.10146,0.32972,0.2283,0.17553,0.06309,1.76606,2.85709,7.06324,1.69261,0,0.0001189,0.0001189,0.0001189
91,4684.46,1.47827,2.45758,2.00123,1.49563,0,0.35742,0.25961,0.21317,0.10095,0.32515,0.22651,0.17702,0.06309,1.77029,2.85839,7.04222,1.69794,0,0.000109,0.000109,0.000109
92,4735.58,1.46268,2.45125,1.96727,1.48914,0,0.35768,0.25287,0.21238,0.10077,0.31699,0.22579,0.17512,0.06307,1.77393,2.863,6.99557,1.70222,0,9.91e-05,9.91e-05,9.91e-05
93,4786.64,1.45702,2.43933,1.9358,1.48496,0,0.3659,0.25325,0.21022,0.10019,0.32866,0.2213,0.17366,0.06253,1.77924,2.86503,7.01008,1.70558,0,8.92e-05,8.92e-05,8.92e-05
94,4837.65,1.45819,2.44191,1.95858,1.48451,0,0.37326,0.24601,0.21037,0.10045,0.33459,0.22537,0.17764,0.06332,1.77961,2.86876,6.94822,1.70741,0,7.93e-05,7.93e-05,7.93e-05
95,4888.59,1.46088,2.44103,1.94822,1.48927,0,0.36115,0.25506,0.21022,0.10104,0.3245,0.23527,0.17887,0.06332,1.77819,2.87042,6.93734,1.70828,0,6.94e-05,6.94e-05,6.94e-05
96,4939.56,1.44863,2.4305,1.95747,1.48279,0,0.35446,0.26356,0.20958,0.10077,0.32276,0.23589,0.17613,0.06316,1.77894,2.87044,6.99682,1.7074,0,5.95e-05,5.95e-05,5.95e-05
97,4990.61,1.44309,2.4286,1.93604,1.48065,0,0.35463,0.26263,0.20838,0.10038,0.32743,0.23251,0.17665,0.06289,1.78149,2.87101,6.99294,1.70831,0,4.96e-05,4.96e-05,4.96e-05
98,5041.65,1.44303,2.4299,1.89782,1.47855,0,0.35076,0.2644,0.20954,0.10009,0.35201,0.22532,0.17546,0.06273,1.78219,2.87275,6.98515,1.70997,0,3.97e-05,3.97e-05,3.97e-05
99,5091.53,1.44381,2.41649,1.92457,1.47187,0,0.3537,0.25817,0.20747,0.09959,0.35303,0.22336,0.17495,0.0623,1.78316,2.87299,6.9926,1.71039,0,2.98e-05,2.98e-05,2.98e-05
100,5140.88,1.44135,2.40904,1.94372,1.4651,0,0.35519,0.25435,0.20618,0.09889,0.35083,0.22675,0.1761,0.06231,1.78453,2.87468,7.01309,1.71127,0,1.99e-05,1.99e-05,1.99e-05
